player_id,player_name,team,position,age,is_starter,matches_played,minutes_played,goals,assists,yellow_cards,red_cards,recent_form,injury_risk,days_since_match,estimated_energy,confidence,data_source
Argentina_10,Player_10,Argentina,LW,26,True,21,1646,1,0,1,0,0.5,0.174,8,85.5,0.75,synthesized_from_distributions
Argentina_11,Player_11,Argentina,RW,21,False,16,1389,2,0,0,0,-1.19,0.159,7,81.9,0.65,synthesized_from_distributions
Argentina_12,Player_12,Argentina,FW,20,False,8,710,0,0,3,0,-1.18,0.516,2,71.4,0.65,synthesized_from_distributions
Argentina_13,Player_13,Argentina,ST,33,False,19,1456,0,1,4,1,-1.4,0.331,11,68.0,0.65,synthesized_from_distributions
Argentina_14,Player_14,Argentina,LW,33,False,7,595,0,0,2,1,0.75,0.383,8,76.3,0.65,synthesized_from_distributions
Argentina_15,Player_15,Argentina,RW,36,False,15,937,1,0,1,0,-1.26,0.467,11,76.5,0.65,synthesized_from_distributions
Argentina_16,Player_16,Argentina,FW,19,False,14,1214,0,0,2,0,0.66,0.109,6,83.7,0.65,synthesized_from_distributions
Argentina_17,Player_17,Argentina,ST,27,False,16,1423,0,0,1,0,-0.81,0.279,3,79.9,0.65,synthesized_from_distributions
Argentina_18,Player_18,Argentina,LW,30,False,13,948,0,0,0,0,-0.87,0.231,8,81.8,0.65,synthesized_from_distributions
Argentina_19,Player_19,Argentina,RW,23,False,9,664,1,0,0,0,1.03,0.368,2,85.6,0.65,synthesized_from_distributions
Argentina_20,Player_20,Argentina,FW,29,False,18,1351,3,0,0,0,1.18,0.149,10,89.4,0.65,synthesized_from_distributions
Argentina_21,Player_21,Argentina,ST,28,False,11,892,2,0,3,0,-0.45,0.411,1,75.0,0.65,synthesized_from_distributions
Argentina_22,Player_22,Argentina,LW,31,False,16,1109,1,0,1,0,2.14,0.492,2,86.6,0.65,synthesized_from_distributions
Uruguay_0,Player_0,Uruguay,GK,21,True,37,3012,0,0,1,0,0.99,0.434,1,86.5,0.75,synthesized_from_distributions
Uruguay_1,Player_1,Uruguay,CB,26,True,17,1135,1,0,0,0,1.12,0.535,5,85.3,0.75,synthesized_from_distributions
Uruguay_2,Player_2,Uruguay,LB,32,True,21,1652,0,0,2,0,-0.88,0.231,8,78.8,0.75,synthesized_from_distributions
Uruguay_3,Player_3,Uruguay,RB,22,True,15,1306,0,0,2,0,-0.54,0.335,13,78.0,0.75,synthesized_from_distributions
Uruguay_4,Player_4,Uruguay,CB,24,True,21,1372,1,0,0,0,1.51,0.157,7,90.7,0.75,synthesized_from_distributions
Uruguay_5,Player_5,Uruguay,CM,25,True,17,1278,0,0,0,0,-0.28,0.205,9,84.4,0.75,synthesized_from_distributions
Uruguay_6,Player_6,Uruguay,LM,21,True,21,1819,1,0,0,0,-0.48,0.284,13,83.5,0.75,synthesized_from_distributions
Uruguay_7,Player_7,Uruguay,RM,33,True,31,2355,0,0,3,0,0.27,0.238,8,81.5,0.75,synthesized_from_distributions
Uruguay_8,Player_8,Uruguay,AM,33,True,36,2377,0,0,3,0,1.29,0.136,8,86.2,0.75,synthesized_from_distributions
Uruguay_9,Player_9,Uruguay,ST,21,True,31,2341,0,1,3,0,2.23,0.345,4,86.3,0.75,synthesized_from_distributions
Uruguay_10,Player_10,Uruguay,LW,21,True,28,2384,0,0,3,0,-0.91,0.162,4,78.3,0.75,synthesized_from_distributions
Uruguay_11,Player_11,Uruguay,RW,23,False,18,1597,0,0,1,0,-0.11,0.221,1,82.8,0.65,synthesized_from_distributions
Uruguay_12,Player_12,Uruguay,FW,32,False,17,1480,0,0,2,0,0.28,0.251,9,81.6,0.65,synthesized_from_distributions
Uruguay_13,Player_13,Uruguay,ST,20,False,6,402,2,1,2,0,1.41,0.269,7,83.3,0.65,synthesized_from_distributions
Uruguay_14,Player_14,Uruguay,LW,19,False,15,1068,0,0,0,0,0.48,0.209,3,86.3,0.65,synthesized_from_distributions
Uruguay_15,Player_15,Uruguay,RW,24,False,17,1514,0,0,1,0,-0.05,0.224,14,82.9,0.65,synthesized_from_distributions
Uruguay_16,Player_16,Uruguay,FW,26,False,18,1603,2,0,0,0,0.2,0.143,5,86.5,0.65,synthesized_from_distributions
Uruguay_17,Player_17,Uruguay,ST,21,False,16,1300,1,1,0,0,-1.08,0.311,4,80.8,0.65,synthesized_from_distributions
Uruguay_18,Player_18,Uruguay,LW,32,False,17,1271,0,0,0,0,1.32,0.592,4,85.3,0.65,synthesized_from_distributions
Uruguay_19,Player_19,Uruguay,RW,24,False,9,804,0,0,1,0,-0.93,0.264,7,78.8,0.65,synthesized_from_distributions
Uruguay_20,Player_20,Uruguay,FW,33,False,19,1295,0,0,1,0,-0.14,0.192,9,83.1,0.65,synthesized_from_distributions
Uruguay_21,Player_21,Uruguay,ST,23,False,15,1029,1,1,2,0,-0.21,0.252,11,79.8,0.65,synthesized_from_distributions
Uruguay_22,Player_22,Uruguay,LW,33,False,12,891,2,0,4,0,3.0,0.11,1,86.5,0.65,synthesized_from_distributions
Colombia_0,Player_0,Colombia,GK,22,True,16,1012,0,0,1,0,0.46,0.104,3,85.4,0.75,synthesized_from_distributions
Colombia_1,Player_1,Colombia,CB,28,True,32,2771,2,0,2,0,-1.44,0.411,8,76.8,0.75,synthesized_from_distributions
Colombia_2,Player_2,Colombia,LB,25,True,17,1244,0,0,0,1,1.4,0.378,11,83.7,0.75,synthesized_from_distributions
Colombia_3,Player_3,Colombia,RB,33,True,19,1382,1,0,2,0,0.13,0.095,12,82.9,0.75,synthesized_from_distributions
Colombia_4,Player_4,Colombia,CB,35,True,16,1073,0,0,1,0,-1.26,0.311,6,78.2,0.75,synthesized_from_distributions
Colombia_5,Player_5,Colombia,CM,36,True,33,2278,0,0,0,0,1.04,0.118,5,91.3,0.75,synthesized_from_distributions
Colombia_6,Player_6,Colombia,LM,35,True,31,2077,0,0,2,0,-0.44,0.272,2,81.0,0.75,synthesized_from_distributions
Colombia_7,Player_7,Colombia,RM,29,True,36,2878,1,0,0,0,-0.08,0.196,14,87.5,0.75,synthesized_from_distributions
Colombia_8,Player_8,Colombia,AM,25,True,18,1422,0,1,0,0,0.2,0.117,12,86.8,0.75,synthesized_from_distributions
Colombia_9,Player_9,Colombia,ST,31,True,28,1719,2,0,1,0,1.68,0.332,5,88.4,0.75,synthesized_from_distributions
Colombia_10,Player_10,Colombia,LW,20,True,22,1782,1,1,4,0,0.31,0.527,0,75.6,0.75,synthesized_from_distributions
Colombia_11,Player_11,Colombia,RW,23,False,19,1366,1,0,2,0,-2.21,0.176,3,75.1,0.65,synthesized_from_distributions
Colombia_12,Player_12,Colombia,FW,26,False,11,967,0,0,3,0,0.26,0.418,2,77.1,0.65,synthesized_from_distributions
Colombia_13,Player_13,Colombia,ST,23,False,5,321,1,1,1,0,0.92,0.189,14,84.5,0.65,synthesized_from_distributions
Colombia_14,Player_14,Colombia,LW,21,False,6,401,1,0,1,0,-0.21,0.08,7,82.4,0.65,synthesized_from_distributions
Colombia_15,Player_15,Colombia,RW,33,False,17,1152,2,0,0,0,1.11,0.164,7,88.9,0.65,synthesized_from_distributions
Colombia_16,Player_16,Colombia,FW,36,False,6,450,1,0,2,0,1.41,0.391,2,82.1,0.65,synthesized_from_distributions
Colombia_17,Player_17,Colombia,ST,22,False,18,1383,0,0,3,0,-0.14,0.241,14,78.5,0.65,synthesized_from_distributions
Colombia_18,Player_18,Colombia,LW,23,False,5,439,2,0,1,0,-0.39,0.356,5,78.9,0.65,synthesized_from_distributions
Colombia_19,Player_19,Colombia,RW,30,False,15,1258,0,0,0,1,-0.34,0.149,8,80.4,0.65,synthesized_from_distributions
Colombia_20,Player_20,Colombia,FW,19,False,15,976,0,0,1,0,0.02,0.476,13,80.3,0.65,synthesized_from_distributions
Colombia_21,Player_21,Colombia,ST,25,False,5,330,2,0,1,0,-0.62,0.675,6,75.1,0.65,synthesized_from_distributions
Colombia_22,Player_22,Colombia,LW,34,False,5,404,0,0,1,0,-1.41,0.409,3,75.3,0.65,synthesized_from_distributions
France_0,Player_0,France,GK,23,True,24,1881,0,0,0,0,0.44,0.157,6,87.9,0.75,synthesized_from_distributions
France_1,Player_1,France,CB,32,True,36,2406,0,0,4,0,-0.74,0.383,13,75.7,0.75,synthesized_from_distributions
France_2,Player_2,France,LB,36,True,29,2260,2,1,0,0,-0.4,0.428,8,83.3,0.75,synthesized_from_distributions
France_3,Player_3,France,RB,25,True,28,1986,0,0,2,0,-0.31,0.497,1,78.8,0.75,synthesized_from_distributions
France_4,Player_4,France,CB,33,True,19,1505,1,1,2,0,1.28,0.103,8,86.3,0.75,synthesized_from_distributions
France_5,Player_5,France,CM,20,True,22,1816,1,0,0,0,1.21,0.328,14,88.3,0.75,synthesized_from_distributions
France_6,Player_6,France,LM,20,True,23,1670,0,0,1,0,0.02,0.055,6,85.5,0.75,synthesized_from_distributions
France_7,Player_7,France,RM,35,True,16,1268,0,0,1,0,-1.16,0.549,10,76.1,0.75,synthesized_from_distributions
France_8,Player_8,France,AM,23,True,22,1873,0,1,1,1,-0.22,0.174,8,79.5,0.75,synthesized_from_distributions
France_9,Player_9,France,ST,19,True,27,2185,0,0,0,0,1.02,0.338,11,88.2,0.75,synthesized_from_distributions
France_10,Player_10,France,LW,25,True,35,2339,0,1,0,0,-2.7,0.383,0,77.7,0.75,synthesized_from_distributions
France_11,Player_11,France,RW,26,False,17,1156,1,0,1,0,0.51,0.423,5,82.5,0.65,synthesized_from_distributions
France_12,Player_12,France,FW,22,False,17,1124,2,0,0,0,-0.43,0.234,11,83.6,0.65,synthesized_from_distributions
France_13,Player_13,France,ST,19,False,13,1058,1,0,0,0,-0.53,0.417,8,80.9,0.65,synthesized_from_distributions
France_14,Player_14,France,LW,19,False,5,388,0,0,1,0,-0.88,0.429,10,76.7,0.65,synthesized_from_distributions
France_15,Player_15,France,RW,22,False,7,537,2,0,0,0,1.33,0.135,9,88.6,0.65,synthesized_from_distributions
France_16,Player_16,France,FW,36,False,9,660,1,0,2,0,-0.33,0.478,12,76.4,0.65,synthesized_from_distributions
France_17,Player_17,France,ST,32,False,14,1025,1,0,3,0,-0.19,0.043,9,79.8,0.65,synthesized_from_distributions
France_18,Player_18,France,LW,21,False,11,707,0,0,0,0,-0.43,0.508,1,80.1,0.65,synthesized_from_distributions
France_19,Player_19,France,RW,22,False,14,931,2,0,1,0,0.1,0.136,8,83.8,0.65,synthesized_from_distributions
France_20,Player_20,France,FW,22,False,8,627,1,0,0,0,-0.59,0.577,3,78.5,0.65,synthesized_from_distributions
France_21,Player_21,France,ST,28,False,9,653,0,0,0,0,0.48,0.43,9,83.3,0.65,synthesized_from_distributions
France_22,Player_22,France,LW,29,False,10,676,1,0,1,0,1.14,0.459,14,83.2,0.65,synthesized_from_distributions
England_0,Player_0,England,GK,35,True,32,1970,0,0,2,0,0.53,0.385,4,83.0,0.75,synthesized_from_distributions
England_1,Player_1,England,CB,20,True,15,1135,3,1,0,0,-0.03,0.124,12,85.7,0.75,synthesized_from_distributions
England_2,Player_2,England,LB,36,True,16,1287,1,0,1,0,2.53,0.185,8,90.9,0.75,synthesized_from_distributions
England_3,Player_3,England,RB,21,True,27,1832,1,0,3,0,-2.76,0.151,4,72.8,0.75,synthesized_from_distributions
England_4,Player_4,England,CB,22,True,19,1474,0,0,1,0,-0.73,0.26,6,80.7,0.75,synthesized_from_distributions
England_5,Player_5,England,CM,32,True,22,1395,0,0,2,0,0.52,0.259,10,82.9,0.75,synthesized_from_distributions
England_6,Player_6,England,LM,27,True,21,1429,0,1,3,0,-1.72,0.525,11,71.3,0.75,synthesized_from_distributions
England_7,Player_7,England,RM,29,True,23,1787,1,0,2,0,2.24,0.159,6,89.1,0.75,synthesized_from_distributions
England_8,Player_8,England,AM,24,True,22,1492,0,0,4,0,-0.42,0.19,5,76.7,0.75,synthesized_from_distributions
England_9,Player_9,England,ST,23,True,37,2526,1,0,1,0,-1.0,0.384,3,81.0,0.75,synthesized_from_distributions
England_10,Player_10,England,LW,27,True,30,2041,1,0,0,0,0.58,0.133,8,89.3,0.75,synthesized_from_distributions
England_11,Player_11,England,RW,30,False,9,544,0,0,0,0,1.93,0.087,6,91.1,0.65,synthesized_from_distributions
England_12,Player_12,England,FW,21,False,15,940,0,1,0,1,-1.0,0.291,5,77.1,0.65,synthesized_from_distributions
England_13,Player_13,England,ST,29,False,9,804,2,0,1,0,-0.6,0.372,6,78.7,0.65,synthesized_from_distributions
England_14,Player_14,England,LW,33,False,18,1428,1,0,0,0,-1.26,0.145,4,82.1,0.65,synthesized_from_distributions
England_15,Player_15,England,RW,32,False,13,1079,0,0,1,0,-2.29,0.576,8,72.1,0.65,synthesized_from_distributions
England_16,Player_16,England,FW,35,False,12,931,0,0,0,0,2.35,0.23,10,91.3,0.65,synthesized_from_distributions
England_17,Player_17,England,ST,27,False,13,837,2,0,1,0,0.66,0.245,6,84.2,0.65,synthesized_from_distributions
England_18,Player_18,England,LW,21,False,17,1049,0,0,0,0,-0.67,0.053,12,84.7,0.65,synthesized_from_distributions
England_19,Player_19,England,RW,36,False,16,1182,0,0,3,0,1.07,0.482,8,79.5,0.65,synthesized_from_distributions
England_20,Player_20,England,FW,34,False,6,497,0,0,0,0,-0.05,0.63,13,79.3,0.65,synthesized_from_distributions
England_21,Player_21,England,ST,34,False,9,793,0,0,1,1,0.9,0.349,4,79.4,0.65,synthesized_from_distributions
England_22,Player_22,England,LW,21,False,8,667,0,0,2,0,-1.15,0.239,4,76.2,0.65,synthesized_from_distributions
Spain_0,Player_0,Spain,GK,34,True,27,2395,0,0,1,0,0.63,0.38,12,84.6,0.75,synthesized_from_distributions
Spain_1,Player_1,Spain,CB,32,True,23,1587,1,0,0,0,-0.06,0.372,1,84.1,0.75,synthesized_from_distributions
Spain_2,Player_2,Spain,LB,35,True,32,2548,0,0,2,1,-0.03,0.396,6,77.2,0.75,synthesized_from_distributions
Spain_3,Player_3,Spain,RB,33,True,36,3017,0,0,1,0,0.12,0.228,4,85.8,0.75,synthesized_from_distributions
Spain_4,Player_4,Spain,CB,19,True,19,1249,2,0,0,0,-0.2,0.215,2,84.8,0.75,synthesized_from_distributions
Spain_5,Player_5,Spain,CM,35,True,17,1250,0,0,0,0,-0.76,0.255,6,82.4,0.75,synthesized_from_distributions
Spain_6,Player_6,Spain,LM,32,True,29,2376,0,1,0,0,0.19,0.325,12,86.1,0.75,synthesized_from_distributions
Spain_7,Player_7,Spain,RM,22,True,20,1644,1,0,0,0,0.97,0.101,14,89.5,0.75,synthesized_from_distributions
Spain_8,Player_8,Spain,AM,36,True,34,2296,0,0,2,0,1.04,0.343,4,85.2,0.75,synthesized_from_distributions
Spain_9,Player_9,Spain,ST,32,True,21,1314,1,0,1,0,-1.7,0.595,8,74.7,0.75,synthesized_from_distributions
Spain_10,Player_10,Spain,LW,21,True,16,1015,0,0,3,0,-0.19,0.572,8,74.8,0.75,synthesized_from_distributions
Spain_11,Player_11,Spain,RW,35,False,11,816,0,0,0,0,-1.53,0.337,0,78.5,0.65,synthesized_from_distributions
Spain_12,Player_12,Spain,FW,27,False,17,1114,1,0,2,0,-0.38,0.372,3,78.4,0.65,synthesized_from_distributions
Spain_13,Player_13,Spain,ST,20,False,5,376,1,0,0,0,-0.82,0.369,13,79.5,0.65,synthesized_from_distributions
Spain_14,Player_14,Spain,LW,24,False,17,1200,1,0,1,0,-0.91,0.104,13,81.5,0.65,synthesized_from_distributions
Spain_15,Player_15,Spain,RW,26,False,15,1117,0,0,3,0,0.87,0.315,9,80.4,0.65,synthesized_from_distributions
Spain_16,Player_16,Spain,FW,21,False,7,527,0,0,4,0,0.92,0.372,5,77.0,0.65,synthesized_from_distributions
Spain_17,Player_17,Spain,ST,26,False,5,410,0,0,2,0,0.03,0.51,14,76.7,0.65,synthesized_from_distributions
Spain_18,Player_18,Spain,LW,24,False,11,868,0,0,1,0,-0.14,0.092,11,83.1,0.65,synthesized_from_distributions
Spain_19,Player_19,Spain,RW,33,False,16,1319,2,1,3,0,1.73,0.137,5,84.9,0.65,synthesized_from_distributions
Spain_20,Player_20,Spain,FW,28,False,8,711,0,0,0,0,1.23,0.253,10,87.2,0.65,synthesized_from_distributions
Spain_21,Player_21,Spain,ST,29,False,6,472,1,0,0,0,0.35,0.044,5,86.4,0.65,synthesized_from_distributions
Spain_22,Player_22,Spain,LW,32,False,6,491,3,0,0,0,-0.18,0.35,0,81.8,0.65,synthesized_from_distributions
Germany_0,Player_0,Germany,GK,25,True,28,2516,0,0,1,0,-0.42,0.587,13,79.5,0.75,synthesized_from_distributions
Germany_1,Player_1,Germany,CB,20,True,28,1884,2,0,0,0,0.04,0.212,10,86.7,0.75,synthesized_from_distributions
Germany_2,Player_2,Germany,LB,34,True,22,1382,0,0,0,0,0.76,0.249,2,87.7,0.75,synthesized_from_distributions
Germany_3,Player_3,Germany,RB,30,True,31,2607,1,0,0,0,-0.32,0.284,3,85.3,0.75,synthesized_from_distributions
Germany_4,Player_4,Germany,CB,30,True,19,1234,1,0,1,0,-1.25,0.054,2,81.2,0.75,synthesized_from_distributions
Germany_5,Player_5,Germany,CM,23,True,35,2655,1,0,1,0,-0.22,0.06,6,86.3,0.75,synthesized_from_distributions
Germany_6,Player_6,Germany,LM,31,True,27,1924,0,0,0,0,0.75,0.428,8,86.5,0.75,synthesized_from_distributions
Germany_7,Player_7,Germany,RM,27,True,33,2725,0,1,3,0,-1.33,0.517,0,74.2,0.75,synthesized_from_distributions
Germany_8,Player_8,Germany,AM,29,True,18,1378,0,0,2,0,-1.45,0.427,1,74.8,0.75,synthesized_from_distributions
Germany_9,Player_9,Germany,ST,25,True,34,2635,2,0,1,0,1.75,0.157,12,91.2,0.75,synthesized_from_distributions
Germany_10,Player_10,Germany,LW,34,True,34,2079,1,0,0,1,-0.58,0.073,0,83.0,0.75,synthesized_from_distributions
Germany_11,Player_11,Germany,RW,34,False,12,940,0,0,1,0,-0.15,0.037,13,83.8,0.65,synthesized_from_distributions
Germany_12,Player_12,Germany,FW,32,False,18,1592,3,0,0,0,0.42,0.119,2,87.5,0.65,synthesized_from_distributions
Germany_13,Player_13,Germany,ST,24,False,13,1033,2,1,1,0,0.03,0.358,10,81.2,0.65,synthesized_from_distributions
Germany_14,Player_14,Germany,LW,32,False,18,1127,0,0,1,0,1.2,0.373,3,85.2,0.65,synthesized_from_distributions
Germany_15,Player_15,Germany,RW,22,False,18,1513,0,2,1,0,0.98,0.191,9,86.4,0.65,synthesized_from_distributions
Germany_16,Player_16,Germany,FW,26,False,10,834,3,0,3,0,-0.52,0.411,14,74.6,0.65,synthesized_from_distributions
Germany_17,Player_17,Germany,ST,30,False,7,521,2,1,1,0,1.37,0.345,10,84.6,0.65,synthesized_from_distributions
Germany_18,Player_18,Germany,LW,20,False,11,867,0,0,1,0,-1.23,0.067,3,80.1,0.65,synthesized_from_distributions
Germany_19,Player_19,Germany,RW,21,False,14,1163,1,0,0,0,0.73,0.519,14,83.8,0.65,synthesized_from_distributions
Germany_20,Player_20,Germany,FW,35,False,5,447,1,1,1,0,0.39,0.15,1,83.3,0.65,synthesized_from_distributions
Germany_21,Player_21,Germany,ST,20,False,10,857,3,0,2,0,-0.31,0.419,5,77.2,0.65,synthesized_from_distributions
Germany_22,Player_22,Germany,LW,36,False,6,480,1,1,2,0,0.57,0.135,1,82.1,0.65,synthesized_from_distributions
Italy_0,Player_0,Italy,GK,34,True,29,2261,0,0,1,0,-0.07,0.175,10,84.9,0.75,synthesized_from_distributions
Italy_1,Player_1,Italy,CB,27,True,31,2505,0,0,0,0,-0.53,0.237,3,85.1,0.75,synthesized_from_distributions
Italy_2,Player_2,Italy,LB,32,True,37,2458,0,0,1,0,0.57,0.355,2,86.0,0.75,synthesized_from_distributions
Italy_3,Player_3,Italy,RB,32,True,17,1167,1,0,1,1,0.18,0.508,10,76.7,0.75,synthesized_from_distributions
Italy_4,Player_4,Italy,CB,26,True,36,3177,1,0,2,0,0.47,0.233,11,84.8,0.75,synthesized_from_distributions
Italy_5,Player_5,Italy,CM,36,True,21,1515,0,0,1,0,1.8,0.102,14,90.1,0.75,synthesized_from_distributions
Italy_6,Player_6,Italy,LM,25,True,31,2613,1,0,4,0,-1.22,0.409,10,73.3,0.75,synthesized_from_distributions
Italy_7,Player_7,Italy,RM,26,True,31,2083,1,0,2,0,-0.01,0.272,5,82.3,0.75,synthesized_from_distributions
Italy_8,Player_8,Italy,AM,29,True,27,1979,0,0,1,0,-1.02,0.306,0,80.4,0.75,synthesized_from_distributions
Italy_9,Player_9,Italy,ST,28,True,17,1075,0,0,2,0,0.16,0.574,11,78.0,0.75,synthesized_from_distributions
Italy_10,Player_10,Italy,LW,24,True,33,2242,1,0,1,0,1.41,0.513,14,86.4,0.75,synthesized_from_distributions
Italy_11,Player_11,Italy,RW,28,False,17,1243,1,0,0,0,-1.91,0.296,8,78.6,0.65,synthesized_from_distributions
Italy_12,Player_12,Italy,FW,31,False,13,874,1,1,1,0,0.03,0.378,1,81.0,0.65,synthesized_from_distributions
Italy_13,Player_13,Italy,ST,29,False,17,1144,1,0,1,0,0.09,0.378,13,81.7,0.65,synthesized_from_distributions
Italy_14,Player_14,Italy,LW,35,False,19,1428,1,0,1,0,-0.38,0.139,13,83.0,0.65,synthesized_from_distributions
Italy_15,Player_15,Italy,RW,28,False,8,557,0,0,1,0,0.27,0.123,12,83.6,0.65,synthesized_from_distributions
Italy_16,Player_16,Italy,FW,36,False,10,822,1,0,2,0,1.19,0.252,1,83.4,0.65,synthesized_from_distributions
Italy_17,Player_17,Italy,ST,20,False,14,938,1,1,1,0,0.41,0.106,10,85.0,0.65,synthesized_from_distributions
Italy_18,Player_18,Italy,LW,29,False,8,671,0,0,1,0,1.12,0.256,5,84.8,0.65,synthesized_from_distributions
Italy_19,Player_19,Italy,RW,30,False,7,627,1,0,1,0,1.79,0.366,12,85.6,0.65,synthesized_from_distributions
Italy_20,Player_20,Italy,FW,36,False,7,613,0,1,1,0,0.61,0.293,8,82.8,0.65,synthesized_from_distributions
Italy_21,Player_21,Italy,ST,19,False,17,1157,1,0,2,0,-0.97,0.352,5,76.8,0.65,synthesized_from_distributions
Italy_22,Player_22,Italy,LW,34,False,19,1580,0,0,2,0,1.23,0.802,6,79.2,0.65,synthesized_from_distributions
Netherlands_0,Player_0,Netherlands,GK,26,True,17,1443,0,0,2,0,-0.25,0.291,10,79.6,0.75,synthesized_from_distributions
Netherlands_1,Player_1,Netherlands,CB,26,True,34,2982,2,0,3,0,-1.26,0.219,2,77.5,0.75,synthesized_from_distributions
Netherlands_2,Player_2,Netherlands,LB,28,True,29,2019,1,0,0,0,-0.9,0.05,14,85.6,0.75,synthesized_from_distributions
Netherlands_3,Player_3,Netherlands,RB,23,True,27,1768,1,0,2,0,-0.2,0.116,3,82.8,0.75,synthesized_from_distributions
Netherlands_4,Player_4,Netherlands,CB,23,True,27,1914,1,0,0,0,1.29,0.018,5,92.2,0.75,synthesized_from_distributions
Netherlands_5,Player_5,Netherlands,CM,30,True,18,1433,1,0,1,0,0.55,0.154,2,85.5,0.75,synthesized_from_distributions
Netherlands_6,Player_6,Netherlands,LM,24,True,32,2778,0,0,1,0,-1.76,0.151,0,80.4,0.75,synthesized_from_distributions
